,name,postcode,borough,latitude,longitude,price,rating,popularity,distance_metro,distance_police,number_of_crimes
50,J J Moon's,HA9 6AA,London Borough of Brent,51.553489,-0.292652,1.0,6.1,0.9868094517518332,331.41289814793123,919.328048323116,163
51,The Parish,HA9 8HP,London Borough of Brent,51.561744,-0.282882,1.0,5.6,0.985580258409964,294.7272059855122,321.93437758452046,159
57,J J Moons,NW9 9EL,London Borough of Brent,51.584604,-0.280033,1.0,5.7,0.9920568036317076,95.2925328369254,208.55241704436077,64
69,Black Horse,BR6 8NW,London Borough of Bromley,51.368235,0.056846,1.0,7.5,0.9547410080316612,13668.240421500372,2826.749081846453,36
70,One Inn the Wood,BR5 1LA,London Borough of Bromley,51.390105,0.073816,1.0,8.3,0.9743708532184844,12242.494451263956,2363.821927948767,33
71,The British Queen,BR6 8NL,London Borough of Bromley,51.366437,0.0542,1.0,7.3,0.9464020486555698,13763.706988450707,2873.3620059582745,43
72,The Greyhound,BR2 6BP,London Borough of Bromley,51.363645,0.028593,1.0,7.4,0.956840879990688,13364.667696995504,4412.32250609468,0
73,The Woodman,BR6 7BA,London Borough of Bromley,51.359255,0.067621,1.0,6.6,0.9380677453148644,14900.304644758846,1682.199071953759,8
74,The Royal Oak,BR6 6BJ,London Borough of Bromley,51.351319,0.089519,1.0,7.0,0.904898149225934,16421.666548777026,245.8691580339505,9
75,Ye Olde Whyte Lyon,BR6 8NE,London Borough of Bromley,51.364223,0.056685,1.0,6.4,0.9090862530555232,14060.927977705953,2603.929158419752,36
76,The Chequers,BR2 8AP,London Borough of Bromley,51.39028,0.045439,1.0,6.5,0.9756116866488184,11135.478054157677,4109.081645980033,22
77,The Fox Inn,BR2 6BQ,London Borough of Bromley,51.361966,0.02739,1.0,6.4,0.938291235013386,13509.864814532866,4450.039901811917,0
78,The Queens Head,BR6 6BQ,London Borough of Bromley,51.352253,0.089814,1.0,6.2,0.9880409731113956,16343.800356352624,140.24310121896016,9
80,Sovereign of the Seas,BR5 1DG,London Borough of Bromley,51.389374,0.072001,1.0,6.1,0.9537306483529276,12231.134884779212,2417.823532205514,33
81,The Buff,BR6 9NL,London Borough of Bromley,51.360007,0.087786,1.0,5.7,0.9353043883133512,15539.26119221872,739.3734308107563,10
83,Daylight Inn,BR5 1LZ,London Borough of Bromley,51.389403,0.075031,1.0,5.7,0.9517471772785472,12355.771722097565,2249.399091206109,36
85,The Harvest Moon,BR6 0LQ,London Borough of Bromley,51.377816,0.101193,1.0,5.0,0.9570690257245956,14499.13856976934,86.02365360409341,69
86,Tapping the Admiral,NW1 8SU,London Borough of Camden,51.545249,-0.146113,2.0,8.9,0.987289023396578,287.1062891300266,551.3502446716402,209
87,The Hawley Arms,NW1 8QU,London Borough of Camden,51.542083,-0.145564,2.0,8.8,0.9828029333022932,351.28984583721393,426.770513842436,339
88,The Southampton Arms,NW5 1LE,London Borough of Camden,51.55606,-0.146228,2.0,9.1,0.985969037364684,418.5274377754439,541.8271990985422,83
89,The Washington,NW3 4UE,London Borough of Camden,51.545666,-0.162814,1.0,7.7,0.9828285414969152,537.1676411464146,804.5624351760418,71
90,The Pineapple,NW5 2NX,London Borough of Camden,51.553066,-0.139617,2.0,8.5,0.976058666045862,298.7808032756864,393.6509703268628,150
91,Edinboro Castle,NW1 7RU,London Borough of Camden,51.536059,-0.144828,2.0,8.1,0.974920265394017,378.3979914712401,357.1637888661436,235
92,The Lion and Unicorn,NW5 2ED,London Borough of Camden,51.548005,-0.139121,1.0,8.2,0.9646979397043416,293.2440719870276,246.0353738959981,126
93,The Rose & Crown,NW5 2SG,London Borough of Camden,51.550286,-0.13306,1.0,8.6,0.9731207077173788,526.5416653911577,612.6120648400339,123
94,The Colonel Fawcett,NW1 0SS,London Borough of Camden,51.541765,-0.136043,2.0,8.2,0.9837550925387032,261.0839067549132,274.54101539383123,106
95,The Elgin,W9 1NJ,City of Westminster,51.53033,-0.18551,2.0,8.4,0.9870911418926784,55.10109477114572,1539.241351058647,91
96,The Old Eagle,NW1 9LU,London Borough of Camden,51.54285,-0.139508,1.0,8.1,0.97363752764521,105.499349751605,224.10709627667904,277
97,The Lord Stanley,NW1 9BH,London Borough of Camden,51.547148,-0.129562,1.0,8.5,0.972580607612618,812.1407581642604,811.8949534094077,106
98,Lord Wargrave,W1H 5HE,City of Westminster,51.518117,-0.165765,1.0,8.8,0.9868536840879992,246.023625450678,207.22697444396505,259
99,The Warrington,W9 1EH,City of Westminster,51.526695,-0.183411,1.0,8.3,0.9797136538237692,378.6611755733424,1110.3401185776206,85
100,The Elephants Head,NW1 8QR,London Borough of Camden,51.540698,-0.143932,2.0,7.8,0.9857036433476896,164.3641222056679,286.40438194722844,355
101,The Windsor Castle,NW1 4SH,City of Westminster,51.526381,-0.162255,1.0,8.1,0.9709440111744848,416.92067651617657,471.0618989707343,80
102,The World's End,NW1 0NE,London Borough of Camden,51.539159,-0.142119,1.0,7.9,0.9960074496566174,73.68392652536158,127.26275150229684,344
103,The Garden Gate,NW3 2QE,London Borough of Camden,51.554679,-0.165585,1.0,7.8,0.9738749854498894,98.91378537648004,1461.184724321128,61
104,The Flask,NW3 1HE,London Borough of Camden,51.556631,-0.177141,1.0,8.0,0.9646257711558608,96.76161196013584,1345.9315661463324,32
105,The Royal Oak,W1H 1QN,City of Westminster,51.520094,-0.162501,1.0,8.3,0.9478780118728902,287.37464683535785,284.15091143748305,208
106,The Abbey Tavern,NW1 9QB,London Borough of Camden,51.545839,-0.141539,1.0,7.7,0.9761960190897452,438.6762254380168,401.874262621424,151
107,The Ordnance,NW8 6PS,City of Westminster,51.535794,-0.171563,1.0,7.4,0.9490792690024444,222.6621615772204,746.1448339505698,56
108,The Freemasons Arms,NW3 1NT,London Borough of Camden,51.556904,-0.168907,2.0,7.7,0.9535420789197998,238.6647353448897,1637.3305287767553,37
109,The Lord Palmerston,NW5 1HU,London Borough of Camden,51.559512,-0.140553,1.0,7.9,0.9618368059597252,361.6021638432745,362.9009477439661,102
110,The George,NW3 2AE,London Borough of Camden,51.552332,-0.167195,1.0,7.4,0.9646467233150972,281.152867472325,1177.6611746288856,71
111,The Clifton,NW8 0JT,City of Westminster,51.535985,-0.184918,1.0,7.6,0.9685508089861484,635.9477698306479,1080.6461618300036,109
112,North London Tavern Kilburn,NW6 7QB,London Borough of Brent,51.545549,-0.202573,2.0,7.9,0.9916354324292864,61.90650163871919,1008.2392979126464,125
113,The Pembroke,NW1 8JA,London Borough of Camden,51.542409,-0.154896,1.0,7.1,0.9618903503666628,181.1628676554717,1061.233657309305,126
114,Duke of Hamilton,NW3 1JD,London Borough of Camden,51.55889,-0.177418,1.0,7.6,0.9874426725643116,281.6231315785143,1411.2968137573623,25
115,Prince Albert,NW1 0SG,London Borough of Camden,51.539934,-0.137066,1.0,7.4,0.964583866837388,291.17054933581755,195.5252146854572,233
116,Assembly House,NW5 2TG,London Borough of Camden,51.551025,-0.140492,2.0,7.3,0.9621743685252008,64.01940165622042,197.7467519973012,125
117,Lore of the Land,W1T 6BB,London Borough of Camden,51.522025,-0.139527,1.0,7.6,0.9645978349435456,292.3806249232218,409.0822943292039,177
118,Allsop Arms,NW1 5AL,City of Westminster,51.522369,-0.160111,1.0,7.5,0.9806937492724944,202.20842510896915,23.23545723395358,118
119,The Parcel Yard,N1C 4AH,London Borough of Camden,51.532327,-0.123734,3.0,7.5,0.997623093935514,196.17064792255744,722.6459700467399,195
120,Devonshire Arms,NW1 8NL,London Borough of Camden,51.540935,-0.142322,2.0,7.1,0.9830403911069724,190.81810304601777,176.56165644275686,336
121,The Exmouth Arms,NW1 2HR,London Borough of Camden,51.527829,-0.136822,1.0,7.4,0.9714841112792456,234.39213250333967,525.7608733331834,210
122,The Constitution,NW1 0QT,London Borough of Camden,51.540281,-0.135388,1.0,7.2,0.9253451286229776,356.003894960757,280.4110419701398,173
123,Warwick Castle,W9 2PX,City of Westminster,51.522021,-0.183867,1.0,7.3,0.9625887556745432,142.0500681911114,686.613121652492,103
124,The Camden Eye,NW1 9NX,London Borough of Camden,51.53948,-0.142198,1.0,6.9,0.9884763124199744,69.47800822384474,160.1518578794781,355
125,Princess of Wales,NW1 8LL,London Borough of Camden,51.540347,-0.153859,1.0,6.7,0.9532208124781748,395.07830512368383,917.7230725089828,90
126,Oxford Arms,NW1 7BU,London Borough of Camden,51.54057,-0.144377,1.0,6.8,0.9842858805726924,164.3978005067379,317.64239949006287,349
127,Fountains Abbey,W2 1RL,City of Westminster,51.516902,-0.172958,1.0,7.2,0.9829984867884995,261.4524571725071,292.7605281734673,239
128,Sir Colin Campbell,NW6 2BY,London Borough of Camden,51.543477,-0.199431,1.0,6.9,0.9678826679082762,300.8122123202623,1155.1547036712072,206
129,The Enterprise,NW3 2BL,London Borough of Camden,51.544126,-0.152844,1.0,6.3,0.9865231055756024,73.31830415890397,955.0452712094344,166
130,The Star of Kings,N1 0AX,London Borough of Islington,51.536521,-0.121916,1.0,6.9,0.9898940751949716,644.2874162846863,805.9874218617031,108
131,Carlton Tavern,NW6 5EU,City of Westminster,51.532056,-0.191426,1.0,6.7,0.9593062507275056,367.3357258665415,1707.526675651487,142
132,The Ice Wharf,NW1 7BY,London Borough of Camden,51.540346,-0.145704,1.0,6.4,0.9922686532417646,210.91239741184603,399.3723541000011,345
133,The Good Mixer,NW1 7HJ,London Borough of Camden,51.539487,-0.144393,1.0,6.4,0.9773157956000466,87.77369983026887,270.95433453113225,314
134,The Metropolitan Bar,NW1 5LD,City of Westminster,51.522676,-0.156862,2.0,6.6,0.9976161098824352,12.649932405850452,250.23618340996651,113
135,Globe,NW1 5JY,City of Westminster,51.52197,-0.157056,2.0,6.6,0.9952834361541149,29.624464143018457,236.1664748243055,119
136,The Albany,W1W 5QU,City of Westminster,51.523228,-0.143925,2.0,6.6,0.9778838319171226,75.89892445497584,366.0907765576098,147
137,The Royal Exchange,W2 1PU,City of Westminster,51.518134,-0.169737,1.0,6.7,0.9607542777325108,165.18265528609888,198.6206531779773,268
138,The Railway,NW6 2LU,London Borough of Camden,51.546252,-0.190963,1.0,6.5,0.9776626702362938,45.45268932474384,892.9886800814869,95
139,Ye Olde Swiss Cottage,NW3 5EL,London Borough of Camden,51.542894,-0.174764,1.0,6.1,0.9837783727156326,55.95516657434646,119.07997936790392,112
140,The Barrel Vault,N1C 4QP,London Borough of Camden,51.533579,-0.1286177,1.0,6.6,0.9984169479688044,463.050722307061,815.4327755876594,147
141,Prince of Wales Feathers,W1T 5LD,London Borough of Camden,51.524233,-0.13855,1.0,6.5,0.9658479804446514,43.01953611988492,461.80109481284336,182
142,The Doric Arch,NW1 1DN,London Borough of Camden,51.527996,-0.132049,2.0,6.5,0.9867582353625888,73.59219435922826,535.7582084541261,203
143,Lyttelton Arms,NW1 7JE,London Borough of Camden,51.534532,-0.139251,2.0,6.3,0.978472820393435,33.565047684306805,423.87542705910704,199
144,Quinn's,NW1 8NY,London Borough of Camden,51.543002,-0.142073,1.0,5.7,0.966569665929461,197.4019612605312,290.2753177916869,311
145,O'Neill's,NW1 2QS,London Borough of Camden,51.528916,-0.126176,2.0,6.1,0.985366080782214,238.1008943131495,345.5363708376095,280
146,Royal George,NW1 1DG,London Borough of Camden,51.528287,-0.131597,2.0,6.0,0.9944476778023512,116.30431742858282,523.5971463420052,171
148,The Rocket,NW1 2AL,London Borough of Camden,51.528246,-0.128965,3.0,5.9,0.982765685019206,286.7822685747664,375.41772810465767,216
149,The Court,W1T 5AA,London Borough of Camden,51.523067,-0.136878,1.0,5.8,0.9726364800372482,180.3819045238668,332.34759362864736,163
150,Green Man,NW1 3AU,City of Westminster,51.523695,-0.143183,2.0,5.6,0.974817832615528,59.46545704120125,320.58327528364526,162
151,The Stags Head,W1W 6XW,City of Westminster,51.519907,-0.143195,1.0,5.7,0.9667791875218252,448.3319188810603,618.6471704665539,156
152,Duke of York,W1H 5HT,City of Westminster,51.517584,-0.164117,1.0,5.6,0.96916307763939,351.7080067260389,331.38967739496485,230
153,The Northumberland Arms,W1T 5AW,London Borough of Camden,51.523533,-0.137327,1.0,5.4,0.9772087067861716,120.09079420695818,392.5449765149245,170
154,Ye Olde Cheshire Cheese,EC4A 2BU,City of London Corporation,51.514321,-0.10721,2.0,8.6,0.9835199627517168,267.707150816591,328.3022196359051,99
155,The Culpeper,E1 6LP,London Borough of Tower Hamlets,51.516814,-0.072909,2.0,8.8,0.9875264812012572,201.8698916556596,180.5547491918496,312
156,The Rake,SE1 9AG,London Borough of Southwark,51.506131,-0.091223,2.0,8.5,0.9845605866604586,451.1206895130834,250.6298524516505,192
157,The Blackfriar,EC4V 4EG,City of London Corporation,51.512102,-0.103706,2.0,8.2,0.9902619019904552,80.85706014217254,112.67502807063852,81
158,Founder's Arms,SE1 9JH,London Borough of Southwark,51.508517,-0.101674,2.0,8.3,0.9931486439296938,368.7707764335281,424.6158490251273,74
159,Old Fountain,EC1V 9NU,London Borough of Islington,51.526891,-0.089027,2.0,8.5,0.9819113025258992,131.39327656818145,55.31512990574634,299
160,The Understudy,SE1 9PX,London Borough of Lambeth,51.507632,-0.113841,1.0,8.9,0.9906064486090096,391.21111476511214,462.0852906984923,117
161,Cittie of Yorke,WC1V 6BN,London Borough of Camden,51.518437,-0.112948,1.0,8.5,0.9889931323478058,124.7026053117546,416.6320581239547,158
162,Carpenter's Arms,E2 6EG,London Borough of Tower Hamlets,51.523989,-0.067348,2.0,9.0,0.9557909440111744,740.0650299852626,708.8022381869387,207
163,The Pride of Spitalfields,E1 5LJ,London Borough of Tower Hamlets,51.518945,-0.071245,1.0,8.5,0.9637038761494588,424.7136991293481,91.29745165615527,238
164,The Old Bank of England,EC4A 2LT,City of London Corporation,51.513916,-0.111302,1.0,8.2,0.9886462577115586,341.4115945298208,231.3715239259568,91
165,The Three Johns,N1 9PF,London Borough of Islington,51.532948,-0.109065,1.0,9.0,0.9807729018740542,231.25356568300677,174.88510707369488,216
166,Seven Stars,WC2A 2JB,London Borough of Camden,51.51507,-0.113256,1.0,8.2,0.978258642765685,393.7876367632726,188.20653803931896,119
167,Rosemary Branch,N1 3DT,London Borough of Islington,51.537583,-0.087005,1.0,8.8,0.9852170876498662,1268.4385917469726,537.7583724447427,139
168,The Narrow Boat,N1 8PZ,London Borough of Islington,51.533078,-0.096802,2.0,8.4,0.9787824467465952,624.6855706035356,593.9085944609863,164
169,Upstairs at the Ten Bells,E1 6LY,London Borough of Tower Hamlets,51.51935,-0.074203,2.0,8.0,0.9895378884879524,497.24852272417735,238.1705548714319,266
170,The Telephone Exchange,SE1 9SG,London Borough of Southwark,51.505084,-0.088106,1.0,7.9,0.9960563380281692,228.9795215028416,6.529719307178247,213
171,Marksman,E2 7SJ,London Borough of Tower Hamlets,51.530863,-0.069572,1.0,8.5,0.9911395646606914,1085.4901988586244,913.4113613055634,206
172,The Roebuck,SE1 4YG,London Borough of Southwark,51.498095,-0.090711,2.0,8.2,0.9644022814573392,410.03396506472,388.8963019981606,178
173,Anchor Bankside,SE1 9EF,London Borough of Southwark,51.507187,-0.092961,1.0,7.6,0.9938586893260388,500.2217752062487,414.4240751063143,174
174,The Porterhouse,WC2E 7NA,City of Westminster,51.510321,-0.123561,2.0,8.3,0.9872983354673496,310.68594252883594,96.15998765258765,625
175,"Draft House, Tower Bridge",SE1 2UP,London Borough of Southwark,51.502839,-0.076931,3.0,8.0,0.9895937609125828,613.7993797525146,119.98367112731962,84
176,Princess Louise,WC1V 7BW,London Borough of Camden,51.51728,-0.121619,1.0,8.1,0.9893400069840532,76.34606869384012,473.8863696254604,243
177,The Buxton,E1 6TD,London Borough of Tower Hamlets,51.517236,-0.070382,1.0,7.8,0.9808404143871492,252.34320023651983,120.69943226784844,260
178,The Woolpack,SE1 3UB,London Borough of Southwark,51.500766,-0.082037,2.0,7.9,0.9852706320568037,545.3609332751167,375.3668359471636,137
179,Royal Oak,SE11 6QU,London Borough of Lambeth,51.49313,-0.11277,1.0,8.4,0.929691537655686,647.4220555004332,339.311284647981,132
180,The Owl & Pussycat,E2 7DP,London Borough of Tower Hamlets,51.52428825,-0.0754746015882803,2.0,7.7,0.9875241531835642,858.7961097939854,741.3674229950477,400
181,The Hydrant,EC3R 8BG,City of London Corporation,51.510305,-0.086303,1.0,7.4,0.9849214294028634,26.61868080298154,510.1359664857698,227
182,Waxy O'Connor's,W1D 6DD,City of Westminster,51.51078,-0.132348,2.0,8.3,0.9889116517285532,125.3501026988738,299.6358605536426,1188
183,The Wheatsheaf,SE1 9AA,London Borough of Southwark,51.505267,-0.0912,2.0,7.6,0.9855942265161216,441.26410424111066,221.5360318081921,202
184,Captain Kidd,E1W 2NE,London Borough of Tower Hamlets,51.50332,-0.058146,1.0,8.2,0.9736002793621232,195.33518999723745,852.1346385843232,68
185,The Prospect of Whitby,E1W 3SJ,London Borough of Tower Hamlets,51.507103,-0.051082,1.0,8.3,0.9853404725875916,449.7955341912908,676.029476340395,72
186,De Hems Dutch Cafe Bar,W1D 5BW,City of Westminster,51.512129,-0.131253,2.0,8.1,0.9891374694447678,204.37207615187896,219.85918233508687,1200
187,Sherlock Holmes,WC2N 5DB,City of Westminster,51.507324,-0.1252,2.0,8.0,0.9948294727039926,156.6738240334492,160.97975692635342,425
188,The White Hart,E1 4TP,London Borough of Tower Hamlets,51.520232,-0.056084,2.0,8.0,0.9888581073216156,252.11095811187968,900.5187560169337,252
189,The Angel,SE16 4NB,London Borough of Southwark,51.500684,-0.059019,1.0,8.0,0.9709556512629496,420.55211627610777,728.1007936470985,69
190,The Old Shades,SW1A 2BX,City of Westminster,51.506493,-0.126804,2.0,7.9,0.9869491328134092,274.4914527221685,159.2722917001517,346
191,The Dickens Inn,E1W 1UH,London Borough of Tower Hamlets,51.506611,-0.070149,2.0,7.5,0.99023396577814,589.2992724402872,711.530734055655,61
192,Camden Head,N1 8DY,London Borough of Islington,51.535608,-0.102957,2.0,7.6,0.977692934466302,394.3847164830409,588.1915925325616,234
193,The Minories,EC3N 1JL,City of London Corporation,51.510836,-0.074717,1.0,7.3,0.9935281108136422,177.88362437755626,841.612010977729,191
194,The Horniman at Hays,SE1 2HD,London Borough of Southwark,51.505728,-0.083503,2.0,7.2,0.9953625887556744,100.61498419774648,320.064999395115,150
195,The Eagle,N1 7LB,London Borough of Hackney,51.52861,-0.091645,2.0,7.2,0.9871074380165288,393.4941706436686,18.54876694084925,233
196,The Red Lion,SW1A 2NH,City of Westminster,51.502051,-0.125749,1.0,7.7,0.991514375509254,110.8167896555993,127.57862352760506,120
197,The Wellington,WC2R 0HS,City of Westminster,51.511424,-0.119594,2.0,7.4,0.9953975090210686,372.3125095828508,378.4368859820172,343
198,The Castle,E1 1LN,London Borough of Tower Hamlets,51.514881,-0.06905,1.0,7.2,0.9924735187987428,191.09254742877417,395.299760170218,294
199,Liberty Bounds,EC3N 4AA,City of London Corporation,51.509744,-0.078495,2.0,7.0,0.9943266208823188,117.85828822324972,823.9000714369723,163
200,O'Neill's,W1D 6PU,City of Westminster,51.511277,-0.132138,2.0,7.4,0.9954091491095332,170.35949408242243,273.9423810297736,1199
201,The Salisbury Pub,WC2N 4AP,City of Westminster,51.510909,-0.127233,1.0,7.3,0.9895658247002678,107.695628081205,99.48187468731749,1240
202,The Old Thameside Inn,SE1 9DG,London Borough of Southwark,51.506974,-0.091718,2.0,6.8,0.9823163776044698,500.7659476392897,331.24651101474666,195
203,The Marquis of Cornwallis,WC1N 1AP,London Borough of Camden,51.524424,-0.125061,2.0,7.2,0.9951134908625304,140.57453072171907,162.24518638796243,174
204,Shakespeares Head,WC2B 6BG,London Borough of Camden,51.516833,-0.119602,1.0,7.0,0.996980561052264,72.46809796848733,456.8796120378984,225
205,Goodmans Field,E1 8AN,London Borough of Tower Hamlets,51.511573,-0.072804,1.0,6.8,0.988490280526132,317.4976819195461,735.5514108586775,214
206,The Ring,SE1 8HA,London Borough of Southwark,51.503556,-0.104875,3.0,6.9,0.9910604120591316,32.25670208665929,579.1194780399659,193
207,George IV,WC2A 2HE,City of Westminster,51.514682,-0.116972,1.0,6.9,0.972897218018857,366.3172407389223,203.0559641542353,224
208,Pommelers Rest,SE1 2UN,London Borough of Southwark,51.502449,-0.077168,1.0,6.8,0.9929624025142592,620.6606607460766,79.51077109828402,91
209,The Clarence,SW1A 2HP,City of Westminster,51.506172,-0.126724,1.0,7.0,0.988134093819113,280.3368746685694,123.50141418793775,288
210,Elephant & Castle,SE1 6BN,London Borough of Southwark,51.495791,-0.099753,1.0,6.9,0.9839343499010592,134.1689609888354,422.092622601565,257
211,The Cross Keys,WC2H 9EB,London Borough of Camden,51.514539,-0.124751,1.0,6.9,0.9768455360260738,165.61292068402022,407.93139846651593,615
212,The White Hart,E1 7RA,London Borough of Tower Hamlets,51.515771,-0.070889,1.0,6.7,0.9938400651844954,93.40391165753846,264.244280506019,280
213,St Stephens Tavern,SW1A 2JR,City of Westminster,51.501093,-0.125416,1.0,7.0,0.9966173902921662,38.66365078156811,197.77915338144572,118
214,Doggetts Coat & Badge,SE1 9UD,London Borough of Southwark,51.508486,-0.104715,2.0,6.5,0.9942172040507508,330.5029422868647,353.87977737609606,87
215,The Barrowboy and Banker,SE1 9QQ,London Borough of Southwark,51.50622,-0.088653,2.0,6.5,0.9954394133395412,281.8724818596753,133.35753194703005,203
216,The Paternoster,EC4M 7DZ,City of London Corporation,51.515147,-0.098648,2.0,6.2,0.9909928995460364,74.26003930228916,357.4314448728709,130
217,The Coal Hole,WC2R 0DW,City of Westminster,51.51031,-0.121462,1.0,6.7,0.9918519380747294,350.78216983898227,221.43858252295797,402
218,The Crown & Two Chairmen,W1D 3SB,City of Westminster,51.513917,-0.132365,2.0,6.8,0.9840693749272494,311.8424788598495,388.6844746249016,1271
219,Penderel's Oak,WC1V 7HP,London Borough of Camden,51.517995,-0.115506,1.0,6.4,0.9934489582120823,304.1248341123581,342.17533365939977,172
220,The Montagu Pyke,WC2H 0DT,City of Westminster,51.514026,-0.130009,1.0,6.6,0.9890490047724364,264.59422348385414,300.5219675094292,1173
221,The Railway Tavern,EC2M 7NX,City of London Corporation,51.517473,-0.083313,1.0,5.9,0.9935746711675008,63.28119900154809,222.23005076927384,302
222,Hamilton Hall,EC2M 7PY,City of London Corporation,51.518963,-0.081491,1.0,5.9,0.9976743103247584,158.07789921691614,173.33163801471412,300
223,Crown & Anchor,WC2H 9PS,London Borough of Camden,51.514034,-0.12515,1.0,6.3,0.9901687812827378,122.31642921146312,346.414481650694,724
224,The Sir John Oldcastle,EC1M 3JF,London Borough of Camden,51.519845,-0.105863,2.0,5.7,0.993004306832732,76.90172745849937,375.0199841887506,142
225,Theodore Bullfrog,WC2N 6HL,City of Westminster,51.508844,-0.123909,1.0,6.0,0.9744337096961936,203.83536716649525,78.67934343155095,543
226,Maple Leaf,WC2E 7LJ,City of Westminster,51.511006,-0.122778,2.0,5.9,0.980144337096962,252.67658414526937,189.279826099655,605
227,The Hole in the Wall,SE1 8SQ,London Borough of Lambeth,51.504149,-0.113121,1.0,5.7,0.9916726807123736,103.88479874218658,102.99610716908782,229
228,The York,N1 8EQ,London Borough of Islington,51.533785,-0.104983,2.0,5.7,0.9871330462111512,150.29991633061556,418.4132983253658,240
229,Millers,N1 9DX,London Borough of Islington,51.531529,-0.121105,1.0,5.8,0.9794436037713886,93.20374463922626,685.6369806463237,251
230,The Oval Tavern,CR0 6BR,London Borough of Croydon,51.378307,-0.08766,1.0,8.1,0.9478966360144336,7681.229202474164,347.7361815552481,137
